id	mieszkanie	klient	datarozpoczecia	datazakonczenia
1	1	1	22.11.2024 00:00:00	20.12.2024 00:00:00
2	1	2	2.1.2025 00:00:00	1.2.2025 00:00:00
3	2	1	2.1.2025 00:00:00	28.2.2025 00:00:00
4	2	2	10.10.2024 00:00:00	18.12.2024 00:00:00
5	3	3	4.10.2024 00:00:00	3.1.2025 00:00:00
6	4	4	6.1.2023 00:00:00	11.12.2024 00:00:00
7	5	4	12.12.2024 00:00:00	3.3.2025 00:00:00
8	5	5	21.5.2023 00:00:00	30.11.2024 00:00:00
9	6	6	11.2.2024 00:00:00	28.2.2025 00:00:00
10	7	7	14.9.2024 00:00:00	28.6.2025 00:00:00
11	8	8	12.12.2023 00:00:00	2.2.2025 00:00:00
12	9	9	5.5.2024 00:00:00	31.10.2024 00:00:00
13	9	10	10.11.2024 00:00:00	28.2.2025 00:00:00
14	10	10	14.1.2024 00:00:00	9.11.2024 00:00:00
15	11	11	2.1.2025 00:00:00	28.2.2025 00:00:00
16	12	12	22.3.2023 00:00:00	28.2.2025 00:00:00
17	13	13	8.8.2024 00:00:00	12.12.2024 00:00:00
18	14	14	1.2.2024 00:00:00	25.5.2024 00:00:00
21	15	14	26.5.2024 00:00:00	28.2.2025 00:00:00
22	15	15	1.3.2024 00:00:00	31.3.2024 00:00:00
